Time,pVD24,pVD26,pVD55,pVD56,pVD58,pVD59,pVD60,pVD61,pVD62
Induced,225,18089,19787,16523,15921,19086,23064,17881,15158
Induced,270,24976,22262,21071,21212,23351,28460,21480,18545
Induced,238,23632,23019,20670,20546,20884,25650,18218,15899
Uninduced,137,4406,5568,4314,3858,3490,3247,4403,3883
Uninduced,71,2712,2905,1895,1979,1622,1369,2139,2332
Uninduced,45,1811,2198,1072,1292,1045,1398,1452,1677
2 min,212,18289,17527,16128,16592,17968,23130,16851,15505
Induced,246,22877,19305,18672,19523,20476,28478,18940,17422
Induced,205,19598,18370,17387,17341,17999,22236,15627,12993
Uninduced,112,3118,3578,2662,2705,2348,2702,3482,3033
Uninduced,69,2250,2244,1561,1617,1315,1181,1917,1962
Uninduced,35,1508,1825,909,1128,866,1087,1395,1354
4 min,196,17140,15954,15701,15293,16532,22200,16754,15653
Induced,214,20389,16599,16399,16870,17806,25887,16649,14909
Induced,212,17658,15476,15612,15883,16877,19821,13873,13041
Uninduced,107,3064,3614,2595,2764,2534,2696,3263,2813
Uninduced,63,2115,2234,1450,1612,1388,1232,1894,1892
Uninduced,34,1531,1858,1091,1165,942,1123,1478,1459
6 min,172,15918,14580,14451,14652,16123,21135,14914,14306
Induced,202,18469,15124,14607,15142,15984,21841,14970,13660
Induced,174,16732,14539,14331,14530,15375,18393,13233,12350
Uninduced,97,2881,3646,2617,2698,2486,2563,3126,2802
Uninduced,57,2010,2130,1397,1441,1420,1227,1819,1863
Uninduced,35,1451,1768,1070,1147,965,1065,1454,1298
8 min,174,14578,13321,13242,14155,15372,19683,13528,13059
Induced,198,17172,14492,13887,14644,15041,19690,14305,12975
Induced,166,16272,14139,13632,14310,15312,17730,12998,12141
Uninduced,93,2832,3669,2571,2696,2368,2361,3056,2721
Uninduced,65,1959,1994,1387,1362,1286,1151,1827,1819
Uninduced,37,1295,1666,1007,1109,938,1029,1300,1195
10 min,175,14945,13345,13353,14222,14806,19135,13694,13317
Induced,187,16059,14042,13522,15064,14919,19885,14102,12405
Induced,174,16427,13682,13580,14051,15233,17410,12927,12284
Uninduced,104,2784,3757,2715,2719,2421,2357,3097,2743
Uninduced,54,1975,2108,1387,1326,1396,1196,1863,1794
Uninduced,28,1295,1656,999,1080,921,1029,1238,1180
12 min,150,12926,12118,12430,13039,13913,17249,12774,12542
Induced,175,15201,13126,13046,14370,14305,17912,13097,11931
Induced,176,16158,13190,13321,13929,14777,17021,12702,12204
Uninduced,99,2730,3611,2527,2654,2312,2238,2976,2650
Uninduced,64,1919,2046,1351,1310,1352,1177,1795,1787
Uninduced,34,1264,1585,942,1042,930,980,1228,1153
14 min,163,13177,11900,12056,12707,13769,16345,11816,11382
Induced,180,14960,12969,12926,14640,14252,18000,13201,12113
Induced,175,15883,12993,12979,13832,14526,16547,12847,12249
Uninduced,95,2595,3465,2526,2646,2263,2213,2901,2542
Uninduced,56,1844,2075,1374,1302,1381,1190,1751,1724
Uninduced,32,1268,1539,922,984,904,945,1196,1155
16 min,150,12458,11305,11288,11752,12874,15662,11462,10992
Induced,164,14413,12222,12330,14008,13642,16852,12351,11843
Induced,155,15722,12492,12819,13698,14234,16670,12442,12197
Uninduced,92,2515,3315,2409,2504,2156,2091,2801,2394
Uninduced,56,1794,1975,1350,1291,1338,1170,1746,1647
Uninduced,27,1218,1549,918,999,897,988,1181,1150
18 min,145,11695,10791,10896,11140,12357,14924,11224,10835
Induced,166,13813,11621,12308,13626,13695,16106,12016,11916
Induced,155,15276,12442,12492,13244,13894,16202,12323,11698
Uninduced,92,2325,3131,2237,2320,2024,1978,2539,2285
Uninduced,56,1741,1868,1312,1229,1321,1209,1684,1627
Uninduced,33,1205,1480,924,913,834,950,1197,1150
