Time,pVD24,pVD26,pVD55,pVD56,pVD58,pVD59,pVD60,pVD61,pVD62
Induced,401,23190,33184,26424,29565,28265,35751,28869,35292
Induced,607,30071,39916,34312,35973,29907,41250,31471,36850
Induced,515,25935,31375,26245,34799,26008,35562,30283,33189
Uninduced,282,2341,3314,4112,4163,3423,4465,3763,2575
Uninduced,157,2268,2163,3031,2642,3345,2498,2527,1970
Uninduced,99,1826,1847,1933,2179,2001,1998,1600,1512
