Time,pVD24,pVD26,pVD27,pVD31,pVD32,pVD33,pVD34,pVD54,pVD57
Induced,551,32950,38999,52149,48976,47935,54897,37384,34537
Induced,764,41661,56550,61644,55756,50388,48612,34307,32682
Induced,648,32976,50949,50144,61277,49135,53866,29240,29039
Uninduced,375,3571,8095,8478,6424,9517,16214,3755,3194
Uninduced,240,2307,5248,6329,4405,6179,10814,2577,2310
Uninduced,158,1838,4434,4999,2873,5134,8209,2178,1877
